datetime,season_week,team1,team2,result,pg_score1,pg_score2,elo_prob1,carm-elo_prob1,raptor_prob1,result_v01_prob1,result_v02_prob1
2019-11-06 22:00:00,3,LAC,MIL,0,124.0,129.0,0.4606544135549988,0.4137550097583135,0.5414080742114197,0.56013364,0.5363224
2019-11-07 20:00:00,3,CHO,BOS,0,87.0,108.0,0.4752595665340421,0.4351202209812532,0.2935324415428749,0.45350695,0.3939032
2019-11-07 20:30:00,3,SAS,OKC,1,121.0,112.0,0.6512871445723849,0.6387983974066496,0.5730771385369371,0.6879349,0.61544853
2019-11-07 21:00:00,3,PHO,MIA,0,108.0,124.0,0.4662600585290368,0.4030697850507519,0.6569951118351124,0.6087278,0.6137327
2019-11-07 22:30:00,3,LAC,POR,1,107.0,101.0,0.5816756340616257,0.4726608349916676,0.7182098547655265,0.6820744,0.5871365
2019-11-08 19:00:00,3,IND,DET,1,112.0,106.0,0.7058368877818524,0.7110089324760599,0.6926217747408667,0.670842,0.7529894
2019-11-08 19:00:00,3,ORL,MEM,1,118.0,86.0,0.7383652800370858,0.7573099021221643,0.718440860820963,0.5318066,0.63757426
2019-11-08 19:00:00,3,WAS,CLE,0,100.0,113.0,0.748752713651963,0.7828276436179717,0.6452350573832594,0.59568864,0.6385912
2019-11-08 19:30:00,3,ATL,SAC,0,109.0,121.0,0.614559413118172,0.6020285914335276,0.4878600186455819,0.6792093,0.7356884
2019-11-08 20:00:00,3,MIN,GSW,1,125.0,119.0,0.5728122919621909,0.5163323631445979,0.9322361090212886,0.7418102,0.7336657
2019-11-08 20:00:00,3,NOP,TOR,0,104.0,122.0,0.2738527934853545,0.19486000756538208,0.49377915043266707,0.40433028,0.37175536
2019-11-08 20:30:00,3,DAL,NYK,0,102.0,106.0,0.8497989736004937,0.880418767349979,0.9304261265650928,0.7721702,0.7838888
2019-11-08 21:00:00,3,DEN,PHI,1,100.0,97.0,0.6291663492446016,0.6591046047863696,0.6308090056986267,0.62255216,0.62584394
2019-11-08 21:00:00,3,UTA,MIL,1,103.0,100.0,0.5085994031213844,0.5162651869614372,0.6344244979860632,0.5551338,0.5024846
2019-11-08 22:00:00,3,POR,BRK,0,115.0,119.0,0.7605656473731485,0.7496605204235419,0.6300928952782469,0.57590383,0.6020126
